filename,width,depth,auxiliary,seed,accuracy,student_loss_teacher,student_acc_5hot
results_Hidden64_Depth5_Auxiliary10_seed1.pt,64,5,10,1,0.109375,2.0909934043884277,0.7890625
results_Hidden64_Depth5_Auxiliary10_seed2.pt,64,5,10,2,0.28125,2.1139068603515625,0.6640625
results_Hidden64_Depth5_Auxiliary10_seed3.pt,64,5,10,3,0.25,2.017096519470215,0.875
results_Hidden64_Depth5_Auxiliary10_seed4.pt,64,5,10,4,0.21875,2.2707698345184326,0.6640625
results_Hidden64_Depth5_Auxiliary50_seed0.pt,64,5,50,0,0.65625,1.2585586309432983,0.96875
results_Hidden64_Depth5_Auxiliary50_seed1.pt,64,5,50,1,0.4765625,1.5572717189788818,0.828125
results_Hidden64_Depth5_Auxiliary50_seed2.pt,64,5,50,2,0.4921875,1.4156376123428345,0.9609375
results_Hidden64_Depth5_Auxiliary50_seed3.pt,64,5,50,3,0.5859375,1.3823447227478027,1.0
results_Hidden64_Depth5_Auxiliary50_seed4.pt,64,5,50,4,0.6484375,1.347373127937317,0.9453125
results_Hidden64_Depth5_Auxiliary100_seed0.pt,64,5,100,0,0.7265625,1.2821688652038574,0.96875
results_Hidden64_Depth5_Auxiliary100_seed1.pt,64,5,100,1,0.5,1.4540570974349976,0.9453125
results_Hidden64_Depth5_Auxiliary100_seed2.pt,64,5,100,2,0.46875,1.3720195293426514,0.96875
results_Hidden64_Depth5_Auxiliary100_seed3.pt,64,5,100,3,0.65625,1.1305755376815796,0.9921875
results_Hidden64_Depth5_Auxiliary100_seed4.pt,64,5,100,4,0.703125,1.3248189687728882,0.984375
results_Hidden64_Depth5_Auxiliary1000_seed0.pt,64,5,1000,0,0.8125,0.9944204688072205,0.984375
results_Hidden64_Depth5_Auxiliary1000_seed1.pt,64,5,1000,1,0.5703125,1.298967957496643,0.9921875
results_Hidden64_Depth5_Auxiliary1000_seed2.pt,64,5,1000,2,0.4609375,1.4876964092254639,0.9453125
results_Hidden64_Depth5_Auxiliary1000_seed3.pt,64,5,1000,3,0.703125,1.1335257291793823,0.9921875
results_Hidden64_Depth5_Auxiliary1000_seed4.pt,64,5,1000,4,0.578125,1.2543925046920776,0.9921875
results_Hidden128_Depth1_Auxiliary3_seed0.pt,128,1,3,0,0.2265625,2.0289621353149414,0.828125
results_Hidden128_Depth1_Auxiliary3_seed1.pt,128,1,3,1,0.3203125,2.009542942047119,0.8203125
results_Hidden128_Depth1_Auxiliary3_seed2.pt,128,1,3,2,0.265625,1.948486566543579,0.8828125
results_Hidden128_Depth1_Auxiliary3_seed3.pt,128,1,3,3,0.375,1.7510204315185547,0.90625
results_Hidden128_Depth1_Auxiliary3_seed4.pt,128,1,3,4,0.3984375,1.963710069656372,0.8125
results_Hidden128_Depth1_Auxiliary10_seed0.pt,128,1,10,0,0.65625,1.2030390501022339,0.9921875
